feature,importance
Error_Rate_%,0.36131080159078005
Error_to_Output_Ratio,0.30041674315616707
Production_Speed_units_per_hr,0.26862451334083304
Energy_Efficiency_Ratio,0.05680606522259938
Power_Consumption_kW,0.006207931622945433
Sensor_Stability,0.0008308655057501375
Temperature_C,0.0007667411741091017
Network_Latency_ms,0.0007062068202525086
Predictive_Maintenance_Score,0.0006651054453254991
Vibration_Hz,0.0006636821602327718
Quality_Control_Defect_Rate_%,0.0006472165742400819
Network_Reliability_Score,0.0006315560407794563
Packet_Loss_%,0.000628815540280508
Machine_ID,0.00040554318283699946
Hour,0.0003828249421083479
DayOfWeek,0.00023174560156966097
Operation_Mode_Enc,7.364207918997047e-05
